Date;Year;Home;Away;HG;AG
15/04/2006;2006;Juventude;Paraná;1;0
15/04/2006;2006;Vasco;Internacional;1;1
16/04/2006;2006;Santa Cruz;Figueirense;0;0
16/04/2006;2006;Palmeiras;Ponte Preta;2;3
16/04/2006;2006;Grêmio;Corinthians;2;0
16/04/2006;2006;São Paulo;Flamengo;1;0
16/04/2006;2006;São Caetano;Cruzeiro;2;1
16/04/2006;2006;Botafogo;Fortaleza;1;0
16/04/2006;2006;Goiás;Santos;0;0
16/04/2006;2006;Athletico;Fluminense;1;2
22/04/2006;2006;Corinthians;São Caetano;3;0
22/04/2006;2006;Fluminense;Goiás;1;0
22/04/2006;2006;Figueirense;Palmeiras;6;1
23/04/2006;2006;Cruzeiro;Grêmio;3;1
23/04/2006;2006;Internacional;Santa Cruz;1;0
23/04/2006;2006;Santos;Athletico;2;0
23/04/2006;2006;Ponte Preta;Vasco;1;2
23/04/2006;2006;Flamengo;Juventude;3;1
23/04/2006;2006;Paraná;Botafogo;0;0
23/04/2006;2006;Fortaleza;São Paulo;1;0
29/04/2006;2006;Fortaleza;São Caetano;2;1
29/04/2006;2006;Botafogo;Athletico;0;4
29/04/2006;2006;São Paulo;Santa Cruz;4;0
30/04/2006;2006;Internacional;Flamengo;1;0
30/04/2006;2006;Ponte Preta;Corinthians;3;2
30/04/2006;2006;Paraná;Grêmio;5;2
30/04/2006;2006;Palmeiras;Santos;1;2
30/04/2006;2006;Vasco;Fluminense;1;1
30/04/2006;2006;Juventude;Goiás;1;1
30/04/2006;2006;Figueirense;Cruzeiro;0;2
06/05/2006;2006;Santa Cruz;Ponte Preta;1;1
06/05/2006;2006;Fluminense;Paraná;2;1
06/05/2006;2006;Santos;Fortaleza;2;0
07/05/2006;2006;Goiás;Figueirense;2;1
07/05/2006;2006;Grêmio;Vasco;1;2
07/05/2006;2006;São Caetano;Palmeiras;2;0
07/05/2006;2006;Athletico;Internacional;1;2
07/05/2006;2006;Corinthians;São Paulo;1;3
07/05/2006;2006;Flamengo;Botafogo;1;0
07/05/2006;2006;Cruzeiro;Juventude;2;0
13/05/2006;2006;São Caetano;Juventude;0;2
13/05/2006;2006;Botafogo;Grêmio;2;2
13/05/2006;2006;Santos;Ponte Preta;3;1
14/05/2006;2006;Santa Cruz;Athletico;1;2
14/05/2006;2006;Internacional;São Paulo;3;1
14/05/2006;2006;Figueirense;Fluminense;1;0
14/05/2006;2006;Palmeiras;Cruzeiro;1;1
14/05/2006;2006;Flamengo;Fortaleza;0;0
14/05/2006;2006;Paraná;Corinthians;1;2
14/05/2006;2006;Goiás;Vasco;2;0
20/05/2006;2006;Athletico;Goiás;2;3
20/05/2006;2006;Fortaleza;Paraná;1;1
20/05/2006;2006;Internacional;Figueirense;2;4
20/05/2006;2006;São Paulo;São Caetano;1;0
21/05/2006;2006;Vasco;Corinthians;2;4
21/05/2006;2006;Cruzeiro;Flamengo;2;1
21/05/2006;2006;Palmeiras;Santa Cruz;2;1
21/05/2006;2006;Ponte Preta;Grêmio;1;1
21/05/2006;2006;Fluminense;Santos;1;0
21/05/2006;2006;Juventude;Botafogo;1;0
24/05/2006;2006;Juventude;Santa Cruz;4;1
24/05/2006;2006;Paraná;Figueirense;0;0
24/05/2006;2006;Cruzeiro;Ponte Preta;5;1
24/05/2006;2006;São Paulo;Palmeiras;4;1
24/05/2006;2006;São Caetano;Athletico;2;1
24/05/2006;2006;Flamengo;Santos;2;2
24/05/2006;2006;Fortaleza;Fluminense;2;5
25/05/2006;2006;Botafogo;Vasco;4;1
25/05/2006;2006;Grêmio;Goiás;2;0
25/05/2006;2006;Corinthians;Internacional;0;1
27/05/2006;2006;Figueirense;Fortaleza;0;0
27/05/2006;2006;Ponte Preta;Paraná;2;5
27/05/2006;2006;Athletico;Juventude;1;0
28/05/2006;2006;Internacional;Cruzeiro;1;1
28/05/2006;2006;Santos;Corinthians;2;0
28/05/2006;2006;Santa Cruz;Botafogo;1;1
28/05/2006;2006;Goiás;São Caetano;2;1
28/05/2006;2006;Fluminense;Flamengo;1;0
28/05/2006;2006;Vasco;São Paulo;1;1
28/05/2006;2006;Palmeiras;Grêmio;0;1
31/05/2006;2006;Juventude;Ponte Preta;0;1
31/05/2006;2006;Cruzeiro;Athletico;1;1
31/05/2006;2006;Fortaleza;Vasco;1;1
31/05/2006;2006;São Caetano;Internacional;1;1
31/05/2006;2006;Flamengo;Palmeiras;2;1
31/05/2006;2006;Grêmio;Santos;1;0
31/05/2006;2006;São Paulo;Fluminense;1;0
01/06/2006;2006;Paraná;Santa Cruz;3;0
01/06/2006;2006;Botafogo;Figueirense;2;3
01/06/2006;2006;Corinthians;Goiás;0;1
03/06/2006;2006;Fluminense;Internacional;2;3
03/06/2006;2006;Fortaleza;Cruzeiro;0;2
03/06/2006;2006;Grêmio;São Caetano;1;1
04/06/2006;2006;Athletico;Palmeiras;2;0
04/06/2006;2006;Vasco;Santa Cruz;2;1
04/06/2006;2006;Corinthians;Flamengo;0;2
04/06/2006;2006;Ponte Preta;Figueirense;3;0
04/06/2006;2006;Goiás;Paraná;1;2
04/06/2006;2006;Juventude;São Paulo;1;1
04/06/2006;2006;Santos;Botafogo;0;0
12/07/2006;2006;Internacional;Ponte Preta;2;0
12/07/2006;2006;Athletico;Fortaleza;0;0
12/07/2006;2006;Fluminense;Juventude;3;2
12/07/2006;2006;São Paulo;Grêmio;2;1
12/07/2006;2006;Figueirense;Santos;2;1
12/07/2006;2006;São Caetano;Botafogo;1;1
12/07/2006;2006;Cruzeiro;Corinthians;2;0
13/07/2006;2006;Santa Cruz;Goiás;2;1
13/07/2006;2006;Flamengo;Paraná;1;4
13/07/2006;2006;Palmeiras;Vasco;4;2
15/07/2006;2006;Botafogo;Ponte Preta;4;1
15/07/2006;2006;São Paulo;Figueirense;2;1
16/07/2006;2006;Grêmio;Fluminense;4;4
16/07/2006;2006;São Caetano;Santos;2;0
16/07/2006;2006;Cruzeiro;Goiás;0;0
16/07/2006;2006;Palmeiras;Corinthians;1;0
16/07/2006;2006;Flamengo;Vasco;0;1
16/07/2006;2006;Juventude;Internacional;2;0
16/07/2006;2006;Paraná;Athletico;2;1
16/07/2006;2006;Fortaleza;Santa Cruz;1;4
22/07/2006;2006;Figueirense;Grêmio;2;0
22/07/2006;2006;Paraná;Cruzeiro;1;0
22/07/2006;2006;Corinthians;Fortaleza;2;2
22/07/2006;2006;Fluminense;São Caetano;2;2
23/07/2006;2006;Ponte Preta;São Paulo;1;3
23/07/2006;2006;Vasco;Athletico;2;1
23/07/2006;2006;Santa Cruz;Flamengo;3;0
23/07/2006;2006;Santos;Juventude;3;2
23/07/2006;2006;Internacional;Botafogo;0;0
23/07/2006;2006;Goiás;Palmeiras;1;3
29/07/2006;2006;Juventude;Figueirense;1;0
29/07/2006;2006;São Caetano;Ponte Preta;1;1
29/07/2006;2006;Palmeiras;Paraná;4;2
30/07/2006;2006;Athletico;Flamengo;1;0
30/07/2006;2006;Vasco;Cruzeiro;1;0
30/07/2006;2006;Santa Cruz;Corinthians;1;0
30/07/2006;2006;São Paulo;Santos;0;4
30/07/2006;2006;Fluminense;Botafogo;1;1
30/07/2006;2006;Internacional;Grêmio;0;0
30/07/2006;2006;Goiás;Fortaleza;1;1
05/08/2006;2006;Grêmio;Juventude;1;0
05/08/2006;2006;Figueirense;São Caetano;1;1
05/08/2006;2006;Flamengo;Goiás;1;0
05/08/2006;2006;Corinthians;Athletico;2;1
06/08/2006;2006;Botafogo;São Paulo;1;1
06/08/2006;2006;Santos;Internacional;2;1
06/08/2006;2006;Paraná;Vasco;2;1
06/08/2006;2006;Ponte Preta;Fluminense;3;0
06/08/2006;2006;Cruzeiro;Santa Cruz;3;3
06/08/2006;2006;Fortaleza;Palmeiras;0;0
12/08/2006;2006;Juventude;Vasco;0;0
12/08/2006;2006;São Caetano;Santa Cruz;2;0
12/08/2006;2006;Flamengo;Ponte Preta;0;0
12/08/2006;2006;Corinthians;Figueirense;1;3
13/08/2006;2006;Botafogo;Palmeiras;1;3
13/08/2006;2006;Grêmio;Athletico;2;0
13/08/2006;2006;Cruzeiro;Fluminense;2;3
13/08/2006;2006;Fortaleza;Internacional;1;2
13/08/2006;2006;São Paulo;Goiás;2;1
13/08/2006;2006;Paraná;Santos;1;1
16/08/2006;2006;Ponte Preta;Fortaleza;1;3
16/08/2006;2006;Vasco;São Caetano;1;2
16/08/2006;2006;Santa Cruz;Grêmio;2;4
16/08/2006;2006;Goiás;Botafogo;2;2
16/08/2006;2006;Figueirense;Flamengo;1;1
16/08/2006;2006;Fluminense;Corinthians;1;2
17/08/2006;2006;Santos;Cruzeiro;2;0
17/08/2006;2006;Palmeiras;Juventude;1;1
19/08/2006;2006;Ponte Preta;Goiás;3;2
19/08/2006;2006;Flamengo;Grêmio;1;0
20/08/2006;2006;Fluminense;Santa Cruz;1;1
20/08/2006;2006;Santos;Vasco;0;2
20/08/2006;2006;Cruzeiro;São Paulo;2;2
20/08/2006;2006;Fortaleza;Juventude;4;1
20/08/2006;2006;Figueirense;Athletico;3;3
20/08/2006;2006;Paraná;São Caetano;1;0
20/08/2006;2006;Internacional;Palmeiras;1;1
20/08/2006;2006;Corinthians;Botafogo;1;0
23/08/2006;2006;Goiás;Internacional;2;2
23/08/2006;2006;Palmeiras;Fluminense;3;0
23/08/2006;2006;Botafogo;Cruzeiro;1;0
23/08/2006;2006;Santa Cruz;Santos;1;1
23/08/2006;2006;Juventude;Corinthians;0;0
23/08/2006;2006;São Caetano;Flamengo;2;2
23/08/2006;2006;Athletico;Ponte Preta;3;0
24/08/2006;2006;Grêmio;Fortaleza;4;1
24/08/2006;2006;São Paulo;Paraná;3;2
24/08/2006;2006;Vasco;Figueirense;3;1
26/08/2006;2006;Fluminense;Athletico;1;2
26/08/2006;2006;Santos;Goiás;2;1
26/08/2006;2006;Cruzeiro;São Caetano;3;0
27/08/2006;2006;Internacional;Vasco;1;2
27/08/2006;2006;Figueirense;Santa Cruz;2;0
27/08/2006;2006;Ponte Preta;Palmeiras;1;1
27/08/2006;2006;Paraná;Juventude;0;1
27/08/2006;2006;Flamengo;São Paulo;1;1
27/08/2006;2006;Fortaleza;Botafogo;2;3
27/08/2006;2006;Corinthians;Grêmio;0;2
30/08/2006;2006;Grêmio;Cruzeiro;2;1
30/08/2006;2006;Juventude;Flamengo;1;0
30/08/2006;2006;São Caetano;Corinthians;0;1
30/08/2006;2006;Athletico;Santos;2;1
30/08/2006;2006;Goiás;Fluminense;3;1
30/08/2006;2006;Santa Cruz;Internacional;0;2
30/08/2006;2006;Palmeiras;Figueirense;1;1
31/08/2006;2006;Botafogo;Paraná;4;0
31/08/2006;2006;São Paulo;Fortaleza;1;1
31/08/2006;2006;Vasco;Ponte Preta;2;2
02/09/2006;2006;Cruzeiro;Figueirense;2;2
02/09/2006;2006;Flamengo;Internacional;1;2
03/09/2006;2006;Fluminense;Vasco;1;1
03/09/2006;2006;Grêmio;Paraná;2;1
03/09/2006;2006;Santos;Palmeiras;5;1
03/09/2006;2006;São Caetano;Fortaleza;0;0
03/09/2006;2006;Athletico;Botafogo;0;5
03/09/2006;2006;Goiás;Juventude;2;0
03/09/2006;2006;Santa Cruz;São Paulo;1;3
03/09/2006;2006;Corinthians;Ponte Preta;1;0
09/09/2006;2006;Ponte Preta;Santa Cruz;2;0
09/09/2006;2006;Vasco;Grêmio;1;1
09/09/2006;2006;Palmeiras;São Caetano;3;1
10/09/2006;2006;Botafogo;Flamengo;0;2
10/09/2006;2006;Internacional;Athletico;2;0
10/09/2006;2006;Figueirense;Goiás;2;2
10/09/2006;2006;São Paulo;Corinthians;0;0
10/09/2006;2006;Paraná;Fluminense;1;0
10/09/2006;2006;Juventude;Cruzeiro;2;0
10/09/2006;2006;Fortaleza;Santos;1;1
16/09/2006;2006;Athletico;Santa Cruz;2;1
16/09/2006;2006;Vasco;Goiás;0;0
16/09/2006;2006;Corinthians;Paraná;1;0
17/09/2006;2006;Fluminense;Figueirense;2;0
17/09/2006;2006;Grêmio;Botafogo;4;0
17/09/2006;2006;Juventude;São Caetano;1;0
17/09/2006;2006;São Paulo;Internacional;2;0
17/09/2006;2006;Ponte Preta;Santos;1;0
17/09/2006;2006;Cruzeiro;Palmeiras;1;0
17/09/2006;2006;Fortaleza;Flamengo;3;4
20/09/2006;2006;Botafogo;Juventude;2;1
20/09/2006;2006;Grêmio;Ponte Preta;4;0
20/09/2006;2006;Figueirense;Internacional;1;0
20/09/2006;2006;Santos;Fluminense;1;1
20/09/2006;2006;São Caetano;São Paulo;0;1
20/09/2006;2006;Paraná;Fortaleza;2;0
20/09/2006;2006;Goiás;Athletico;2;2
20/09/2006;2006;Corinthians;Vasco;1;1
21/09/2006;2006;Flamengo;Cruzeiro;1;0
21/09/2006;2006;Santa Cruz;Palmeiras;3;2
23/09/2006;2006;Fluminense;Fortaleza;1;3
23/09/2006;2006;Athletico;São Caetano;3;1
24/09/2006;2006;Internacional;Corinthians;1;1
24/09/2006;2006;Figueirense;Paraná;0;1
24/09/2006;2006;Santos;Flamengo;3;0
24/09/2006;2006;Ponte Preta;Cruzeiro;0;1
24/09/2006;2006;Vasco;Botafogo;0;0
24/09/2006;2006;Goiás;Grêmio;4;0
24/09/2006;2006;Santa Cruz;Juventude;1;0
24/09/2006;2006;Palmeiras;São Paulo;3;1
30/09/2006;2006;Internacional;Paraná;3;2
30/09/2006;2006;Athletico;São Paulo;0;0
04/10/2006;2006;Grêmio;Palmeiras;2;1
04/10/2006;2006;Juventude;Athletico;3;2
04/10/2006;2006;São Paulo;Vasco;5;1
04/10/2006;2006;São Caetano;Goiás;1;2
04/10/2006;2006;Paraná;Ponte Preta;2;1
04/10/2006;2006;Flamengo;Fluminense;4;1
04/10/2006;2006;Fortaleza;Figueirense;1;1
05/10/2006;2006;Botafogo;Santa Cruz;3;0
05/10/2006;2006;Cruzeiro;Internacional;2;1
05/10/2006;2006;Corinthians;Santos;0;3
07/10/2006;2006;Fluminense;São Paulo;1;2
07/10/2006;2006;Ponte Preta;Juventude;3;1
07/10/2006;2006;Vasco;Fortaleza;2;0
08/10/2006;2006;Internacional;São Caetano;1;0
08/10/2006;2006;Figueirense;Botafogo;1;0
08/10/2006;2006;Santos;Grêmio;1;0
08/10/2006;2006;Athletico;Cruzeiro;1;1
08/10/2006;2006;Goiás;Corinthians;3;1
08/10/2006;2006;Santa Cruz;Paraná;1;3
08/10/2006;2006;Palmeiras;Flamengo;3;1
14/10/2006;2006;Botafogo;Santos;4;3
14/10/2006;2006;São Paulo;Juventude;5;0
14/10/2006;2006;São Caetano;Grêmio;0;2
14/10/2006;2006;Cruzeiro;Fortaleza;0;0
15/10/2006;2006;Internacional;Fluminense;2;0
15/10/2006;2006;Figueirense;Ponte Preta;2;1
15/10/2006;2006;Paraná;Goiás;1;0
15/10/2006;2006;Flamengo;Corinthians;3;0
15/10/2006;2006;Santa Cruz;Vasco;0;4
15/10/2006;2006;Palmeiras;Athletico;2;2
18/10/2006;2006;Vasco;Palmeiras;3;0
21/10/2006;2006;Santos;Figueirense;2;1
21/10/2006;2006;Ponte Preta;Internacional;0;2
21/10/2006;2006;Goiás;Santa Cruz;5;3
22/10/2006;2006;Botafogo;São Caetano;2;1
22/10/2006;2006;Grêmio;São Paulo;1;1
22/10/2006;2006;Juventude;Fluminense;1;1
22/10/2006;2006;Paraná;Flamengo;0;2
22/10/2006;2006;Fortaleza;Athletico;3;4
22/10/2006;2006;Corinthians;Cruzeiro;1;0
25/10/2006;2006;Corinthians;Palmeiras;1;0
26/10/2006;2006;Fluminense;Grêmio;1;2
26/10/2006;2006;Internacional;Juventude;1;0
26/10/2006;2006;Vasco;Flamengo;3;1
26/10/2006;2006;Santa Cruz;Fortaleza;0;1
28/10/2006;2006;Figueirense;São Paulo;0;2
28/10/2006;2006;Santos;São Caetano;1;0
28/10/2006;2006;Ponte Preta;Botafogo;1;2
28/10/2006;2006;Athletico;Paraná;4;0
28/10/2006;2006;Goiás;Cruzeiro;2;3
01/11/2006;2006;Grêmio;Figueirense;1;2
01/11/2006;2006;Juventude;Santos;3;2
01/11/2006;2006;São Caetano;Fluminense;1;1
01/11/2006;2006;Athletico;Vasco;6;4
01/11/2006;2006;Flamengo;Santa Cruz;1;1
01/11/2006;2006;Fortaleza;Corinthians;0;4
01/11/2006;2006;Palmeiras;Goiás;1;3
02/11/2006;2006;Botafogo;Internacional;0;1
02/11/2006;2006;São Paulo;Ponte Preta;1;1
02/11/2006;2006;Cruzeiro;Paraná;2;2
04/11/2006;2006;Figueirense;Juventude;1;0
04/11/2006;2006;Flamengo;Athletico;1;0
05/11/2006;2006;Botafogo;Fluminense;2;1
05/11/2006;2006;Grêmio;Internacional;0;1
05/11/2006;2006;Santos;São Paulo;0;1
05/11/2006;2006;Ponte Preta;São Caetano;1;2
05/11/2006;2006;Paraná;Palmeiras;4;2
05/11/2006;2006;Cruzeiro;Vasco;2;1
05/11/2006;2006;Fortaleza;Goiás;0;3
05/11/2006;2006;Corinthians;Santa Cruz;1;0
08/11/2006;2006;Internacional;Santos;0;0
08/11/2006;2006;Juventude;Grêmio;1;2
08/11/2006;2006;São Caetano;Figueirense;3;1
08/11/2006;2006;Athletico;Corinthians;1;2
08/11/2006;2006;Vasco;Paraná;3;1
08/11/2006;2006;Goiás;Flamengo;0;1
08/11/2006;2006;Palmeiras;Fortaleza;3;0
09/11/2006;2006;Fluminense;Ponte Preta;0;0
09/11/2006;2006;São Paulo;Botafogo;3;0
09/11/2006;2006;Santa Cruz;Cruzeiro;4;1
11/11/2006;2006;Internacional;Fortaleza;3;0
11/11/2006;2006;Santos;Paraná;1;0
11/11/2006;2006;Vasco;Juventude;1;1
12/11/2006;2006;Fluminense;Cruzeiro;1;0
12/11/2006;2006;Figueirense;Corinthians;0;0
12/11/2006;2006;Ponte Preta;Flamengo;3;0
12/11/2006;2006;Athletico;Grêmio;2;3
12/11/2006;2006;Goiás;São Paulo;0;2
12/11/2006;2006;Santa Cruz;São Caetano;0;3
12/11/2006;2006;Palmeiras;Botafogo;2;1
18/11/2006;2006;Grêmio;Santa Cruz;3;1
18/11/2006;2006;Flamengo;Figueirense;0;2
18/11/2006;2006;Corinthians;Fluminense;1;1
19/11/2006;2006;Botafogo;Goiás;2;2
19/11/2006;2006;Juventude;Palmeiras;3;2
19/11/2006;2006;São Paulo;Athletico;1;1
19/11/2006;2006;São Caetano;Vasco;0;1
19/11/2006;2006;Paraná;Internacional;1;0
19/11/2006;2006;Cruzeiro;Santos;1;1
19/11/2006;2006;Fortaleza;Ponte Preta;1;0
26/11/2006;2006;Botafogo;Corinthians;0;0
26/11/2006;2006;Grêmio;Flamengo;3;0
26/11/2006;2006;Juventude;Fortaleza;2;2
26/11/2006;2006;São Paulo;Cruzeiro;2;0
26/11/2006;2006;São Caetano;Paraná;0;2
26/11/2006;2006;Athletico;Figueirense;1;4
26/11/2006;2006;Vasco;Santos;1;1
26/11/2006;2006;Goiás;Ponte Preta;3;0
26/11/2006;2006;Santa Cruz;Fluminense;1;2
26/11/2006;2006;Palmeiras;Internacional;1;4
02/12/2006;2006;Internacional;Goiás;1;4
02/12/2006;2006;Flamengo;São Caetano;4;1
03/12/2006;2006;Fluminense;Palmeiras;1;1
03/12/2006;2006;Figueirense;Vasco;0;0
03/12/2006;2006;Santos;Santa Cruz;3;1
03/12/2006;2006;Ponte Preta;Athletico;1;1
03/12/2006;2006;Paraná;São Paulo;0;0
03/12/2006;2006;Cruzeiro;Botafogo;3;1
03/12/2006;2006;Fortaleza;Grêmio;1;0
03/12/2006;2006;Corinthians;Juventude;5;3
12/05/2007;2007;Figueirense;Athletico;3;6
12/05/2007;2007;Fluminense;Cruzeiro;2;2
12/05/2007;2007;São Paulo;Goiás;2;0
13/05/2007;2007;Atlético Mineiro;Náutico;2;1
13/05/2007;2007;Internacional;Botafogo;2;3
13/05/2007;2007;Flamengo;Palmeiras;2;4
13/05/2007;2007;Paraná;Grêmio;3;0
13/05/2007;2007;América-RN;Vasco;0;1
13/05/2007;2007;Corinthians;Juventude;1;0
13/05/2007;2007;Sport;Santos;4;1
19/05/2007;2007;Juventude;Paraná;1;2
19/05/2007;2007;Athletico;Internacional;2;1
19/05/2007;2007;Santos;América-RN;2;3
20/05/2007;2007;Goiás;Flamengo;1;3
20/05/2007;2007;Botafogo;Atlético Mineiro;2;1
20/05/2007;2007;Cruzeiro;Corinthians;0;3
20/05/2007;2007;Palmeiras;Figueirense;2;1
20/05/2007;2007;Vasco;Sport;3;1
20/05/2007;2007;Náutico;São Paulo;1;0
20/05/2007;2007;Grêmio;Fluminense;2;0
26/05/2007;2007;América-RN;Figueirense;0;1
26/05/2007;2007;Corinthians;Atlético Mineiro;0;0
26/05/2007;2007;Fluminense;Internacional;3;0
27/05/2007;2007;Athletico;Santos;0;1
27/05/2007;2007;Náutico;Vasco;2;2
27/05/2007;2007;Grêmio;Sport;1;0
27/05/2007;2007;São Paulo;Palmeiras;0;0
27/05/2007;2007;Flamengo;Botafogo;2;2
27/05/2007;2007;Cruzeiro;Paraná;3;4
27/05/2007;2007;Goiás;Juventude;3;1
02/06/2007;2007;Figueirense;Goiás;2;1
02/06/2007;2007;Botafogo;Grêmio;3;0
02/06/2007;2007;Atlético Mineiro;Athletico;1;1
03/06/2007;2007;Palmeiras;Cruzeiro;1;3
03/06/2007;2007;Sport;Flamengo;2;2
03/06/2007;2007;Santos;Corinthians;1;1
03/06/2007;2007;Juventude;América-RN;3;0
03/06/2007;2007;Vasco;Fluminense;1;1
03/06/2007;2007;Paraná;São Paulo;0;1
04/06/2007;2007;Internacional;Náutico;2;0
09/06/2007;2007;Náutico;Paraná;4;4
09/06/2007;2007;Palmeiras;Botafogo;1;1
09/06/2007;2007;Vasco;Grêmio;4;0
10/06/2007;2007;América-RN;Corinthians;1;2
10/06/2007;2007;Fluminense;Sport;3;0
10/06/2007;2007;Figueirense;Flamengo;4;0
10/06/2007;2007;Athletico;Goiás;0;3
10/06/2007;2007;Cruzeiro;Juventude;2;3
10/06/2007;2007;São Paulo;Atlético Mineiro;0;1
10/06/2007;2007;Internacional;Santos;1;0
14/06/2007;2007;Botafogo;Vasco;4;0
16/06/2007;2007;Grêmio;Cruzeiro;0;2
16/06/2007;2007;Corinthians;Paraná;0;0
16/06/2007;2007;Flamengo;Internacional;2;2
17/06/2007;2007;Goiás;Palmeiras;3;1
17/06/2007;2007;Atlético Mineiro;Figueirense;4;1
17/06/2007;2007;São Paulo;Vasco;2;0
17/06/2007;2007;Athletico;Fluminense;1;1
17/06/2007;2007;Sport;América-RN;2;2
17/06/2007;2007;Botafogo;Náutico;3;1
17/06/2007;2007;Juventude;Santos;0;2
23/06/2007;2007;Juventude;Figueirense;1;1
23/06/2007;2007;Paraná;Sport;1;0
24/06/2007;2007;Palmeiras;Athletico;0;2
24/06/2007;2007;América-RN;Fluminense;0;1
24/06/2007;2007;Santos;São Paulo;0;2
24/06/2007;2007;Cruzeiro;Atlético Mineiro;4;2
24/06/2007;2007;Náutico;Goiás;0;2
24/06/2007;2007;Internacional;Grêmio;0;2
28/06/2007;2007;Sport;Náutico;4;1
28/06/2007;2007;Figueirense;São Paulo;0;0
30/06/2007;2007;América-RN;Goiás;0;3
30/06/2007;2007;Cruzeiro;Vasco;3;1
30/06/2007;2007;Santos;Grêmio;0;0
30/06/2007;2007;Fluminense;Botafogo;1;2
30/06/2007;2007;Paraná;Athletico;2;2
30/06/2007;2007;Internacional;Atlético Mineiro;1;1
30/06/2007;2007;Corinthians;Palmeiras;0;1
03/07/2007;2007;Palmeiras;América-RN;2;0
03/07/2007;2007;Figueirense;Cruzeiro;2;1
03/07/2007;2007;Athletico;Náutico;1;1
03/07/2007;2007;Grêmio;Juventude;3;1
03/07/2007;2007;Fluminense;Paraná;0;0
03/07/2007;2007;São Paulo;Internacional;1;0
03/07/2007;2007;Goiás;Botafogo;1;1
04/07/2007;2007;Sport;Corinthians;2;1
04/07/2007;2007;Atlético Mineiro;Flamengo;1;1
04/07/2007;2007;Vasco;Santos;4;0
06/07/2007;2007;Paraná;América-RN;0;1
07/07/2007;2007;Corinthians;Fluminense;1;1
07/07/2007;2007;Santos;Cruzeiro;4;1
07/07/2007;2007;Atlético Mineiro;Grêmio;0;1
07/07/2007;2007;Botafogo;Athletico;2;0
07/07/2007;2007;Goiás;Sport;3;2
07/07/2007;2007;Internacional;Figueirense;2;1
07/07/2007;2007;Náutico;Palmeiras;0;1
07/07/2007;2007;Juventude;Vasco;2;0
07/07/2007;2007;São Paulo;Flamengo;0;0
12/07/2007;2007;Paraná;Figueirense;1;2
12/07/2007;2007;Juventude;Náutico;1;1
12/07/2007;2007;Vasco;Athletico;1;0
14/07/2007;2007;América-RN;Internacional;1;2
14/07/2007;2007;Cruzeiro;Goiás;2;1
14/07/2007;2007;Corinthians;São Paulo;1;1
14/07/2007;2007;Sport;Atlético Mineiro;2;0
14/07/2007;2007;Santos;Botafogo;3;0
14/07/2007;2007;Grêmio;Palmeiras;1;1
19/07/2007;2007;Figueirense;Sport;0;1
19/07/2007;2007;Athletico;Juventude;4;0
19/07/2007;2007;Atlético Mineiro;América-RN;4;1
19/07/2007;2007;Náutico;Cruzeiro;1;4
19/07/2007;2007;São Paulo;Fluminense;0;1
19/07/2007;2007;Internacional;Corinthians;3;0
20/07/2007;2007;Palmeiras;Santos;2;2
20/07/2007;2007;Goiás;Grêmio;0;0
20/07/2007;2007;Flamengo;Paraná;1;2
21/07/2007;2007;América-RN;Athletico;2;1
21/07/2007;2007;Juventude;Internacional;2;0
21/07/2007;2007;Vasco;Atlético Mineiro;4;0
22/07/2007;2007;Corinthians;Náutico;0;3
22/07/2007;2007;Cruzeiro;São Paulo;1;2
22/07/2007;2007;Grêmio;Flamengo;1;0
22/07/2007;2007;Fluminense;Goiás;3;0
22/07/2007;2007;Santos;Figueirense;3;1
22/07/2007;2007;Paraná;Palmeiras;1;0
22/07/2007;2007;Sport;Botafogo;3;3
26/07/2007;2007;Athletico;Cruzeiro;2;2
26/07/2007;2007;Goiás;Santos;1;0
26/07/2007;2007;Náutico;Grêmio;0;2
26/07/2007;2007;Flamengo;América-RN;3;1
26/07/2007;2007;Palmeiras;Vasco;3;2
26/07/2007;2007;Figueirense;Corinthians;2;2
26/07/2007;2007;Internacional;Paraná;1;0
26/07/2007;2007;Botafogo;Juventude;3;1
27/07/2007;2007;Atlético Mineiro;Fluminense;3;0
27/07/2007;2007;São Paulo;Sport;3;1
28/07/2007;2007;Santos;Náutico;1;2
28/07/2007;2007;Grêmio;Athletico;1;1
28/07/2007;2007;Vasco;Goiás;4;1
29/07/2007;2007;Corinthians;Flamengo;2;2
29/07/2007;2007;Sport;Internacional;1;5
29/07/2007;2007;Juventude;Palmeiras;1;1
29/07/2007;2007;Paraná;Atlético Mineiro;1;3
29/07/2007;2007;Fluminense;Figueirense;1;1
29/07/2007;2007;América-RN;São Paulo;0;1
29/07/2007;2007;Cruzeiro;Botafogo;3;2
02/08/2007;2007;Goiás;Paraná;2;0
02/08/2007;2007;Náutico;Fluminense;0;0
02/08/2007;2007;Palmeiras;Sport;1;2
02/08/2007;2007;Botafogo;América-RN;4;2
02/08/2007;2007;Athletico;Corinthians;2;2
02/08/2007;2007;Atlético Mineiro;Santos;1;2
02/08/2007;2007;Internacional;Vasco;0;2
03/08/2007;2007;Figueirense;Grêmio;1;0
03/08/2007;2007;São Paulo;Juventude;3;1
04/08/2007;2007;Corinthians;Goiás;1;0
04/08/2007;2007;América-RN;Náutico;1;5
04/08/2007;2007;Sport;Athletico;3;2
05/08/2007;2007;Fluminense;Palmeiras;0;1
05/08/2007;2007;Cruzeiro;Internacional;3;2
05/08/2007;2007;Santos;Flamengo;3;0
